,prompt,completion
31,"date=7/1/1986, spcpi=7, spcpi_m_s=6, spcpi_m_fe=7, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=5, median_cpi=6, fpcpi=0, fpcpi_m_fe=2->",2
32,"date=8/1/1986, spcpi=6, spcpi_m_s=6, spcpi_m_fe=7, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=0, fpcpi_m_fe=3->",3
33,"date=9/1/1986, spcpi=7, spcpi_m_s=6, spcpi_m_fe=7, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=0, fpcpi_m_fe=3->",3
34,"date=10/1/1986, spcpi=6, spcpi_m_s=6, spcpi_m_fe=7, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=0, fpcpi_m_fe=3->",3
35,"date=11/1/1986, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=5, median_cpi=6, fpcpi=0, fpcpi_m_fe=3->",3
36,"date=12/1/1986, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=5, median_cpi=6, fpcpi=0, fpcpi_m_fe=3->",3
37,"date=1/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=0, fpcpi_m_fe=4->",4
38,"date=2/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=1, fpcpi_m_fe=4->",4
39,"date=3/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=2, fpcpi_m_fe=5->",5
40,"date=4/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
41,"date=5/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
42,"date=6/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=5, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=7->",7
43,"date=7/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=7->",7
44,"date=8/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=7, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=6, fpcpi_m_fe=7->",7
45,"date=9/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
46,"date=10/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=7, sixteenP_trim_mean_cpi=6, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
47,"date=11/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=6, fpcpi=6, fpcpi_m_fe=7->",7
48,"date=12/1/1987, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=5, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=6, fpcpi_m_fe=7->",7
49,"date=1/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=5, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
50,"date=2/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=5, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
51,"date=3/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=5, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
52,"date=4/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=7->",7
53,"date=5/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
54,"date=6/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
55,"date=7/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=7, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
56,"date=8/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=6->",6
57,"date=9/1/1988, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=7, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
58,"date=10/1/1988, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
59,"date=11/1/1988, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=6, fpcpi=5, fpcpi_m_fe=6->",6
60,"date=12/1/1988, spcpi=6, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=6, fpcpi=5, fpcpi_m_fe=7->",7
61,"date=1/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=7->",7
62,"date=2/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
63,"date=3/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
64,"date=4/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
65,"date=5/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=7, fpcpi_m_fe=6->",6
66,"date=6/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
67,"date=7/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
68,"date=8/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
69,"date=9/1/1989, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=5->",5
70,"date=10/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=5->",5
71,"date=11/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=5->",5
72,"date=12/1/1989, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=5->",5
73,"date=1/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=5->",5
74,"date=2/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
75,"date=3/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=6->",6
76,"date=4/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=6->",6
77,"date=5/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=4, fpcpi_m_fe=6->",6
78,"date=6/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=6->",6
79,"date=7/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=6->",6
80,"date=8/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
81,"date=9/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=7, fpcpi_m_fe=6->",6
82,"date=10/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=7, fpcpi_m_fe=6->",6
83,"date=11/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=7, fpcpi_m_fe=6->",6
84,"date=12/1/1990, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=7, fpcpi_m_fe=6->",6
85,"date=1/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
86,"date=2/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=7, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
87,"date=3/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=6->",6
88,"date=4/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=6->",6
89,"date=5/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
90,"date=6/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=7, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=6, fpcpi_m_fe=7->",7
91,"date=7/1/1991, spcpi=7, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=7, median_cpi=7, fpcpi=5, fpcpi_m_fe=7->",7
92,"date=8/1/1991, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=4, fpcpi_m_fe=7->",7
93,"date=9/1/1991, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=2, fpcpi_m_fe=7->",7
94,"date=10/1/1991, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=1, fpcpi_m_fe=7->",7
95,"date=11/1/1991, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=1, fpcpi_m_fe=7->",7
96,"date=12/1/1991, spcpi=6, spcpi_m_s=7, spcpi_m_fe=6, spcpi_m_fes=7, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=1, fpcpi_m_fe=7->",7
97,"date=1/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=1, fpcpi_m_fe=6->",6
98,"date=2/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=2, fpcpi_m_fe=6->",6
99,"date=3/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=6, fpcpi=3, fpcpi_m_fe=6->",6
100,"date=4/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=6, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=2, fpcpi_m_fe=6->",6
101,"date=5/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=2, fpcpi_m_fe=6->",6
102,"date=6/1/1992, spcpi=6, spcpi_m_s=6, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=3, fpcpi_m_fe=6->",6
103,"date=7/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=6, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=3, fpcpi_m_fe=6->",6
104,"date=8/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=6->",6
105,"date=9/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=4, fpcpi_m_fe=6->",6
106,"date=10/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=6->",6
107,"date=11/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
108,"date=12/1/1992, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
109,"date=1/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=6->",6
110,"date=2/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=6->",6
111,"date=3/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=4, fpcpi_m_fe=6->",6
112,"date=4/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=4, fpcpi_m_fe=6->",6
113,"date=5/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=4, fpcpi_m_fe=6->",6
114,"date=6/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
115,"date=7/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
116,"date=8/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
117,"date=9/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=6, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=2, fpcpi_m_fe=4->",4
118,"date=10/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=4->",4
119,"date=11/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=3, fpcpi=3, fpcpi_m_fe=5->",5
120,"date=12/1/1993, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=2, fpcpi_m_fe=4->",4
